"","ID","Collection","State","County","Location","Lat","Long","elevationM","estElevation","Uncertainty","Month","Day","Year","Sex","FWL","HWL","BodyLength","Thorax","ThoraxC","FileNaNme","mean_Standard","mean_Sample","max_Sample","min_Sample","white_balance","min_Standard","Corr.Val","lon","lat","NewLocation","doy","region","June","July","June15July15","doy162to202","Tpupal","J","JJTave","time.per","seas","siteID","YrSite","region.lab","syear.int","syear.slope","fyear.int","fyear.slope"
"46","4829","csu","Montana","Madison","GravellyRange",44.89,-111.75958,"9000",2572.96,1,7,"28",1994,"M",22.81,18.6,NA,NA,NA,"IMG_4829",77.713998,160.277094,229,30,234,53,0.407308873,-111.75958,44.89,"GravellyRange",208,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3452380952381,208,12.4444444444444,"post 1980","late",7,"19947","Northern RM",NA,NA,NA,NA
"47","4835","csu","Montana","Madison","GravellyRange",44.89,-111.75958,"9000",2572.96,1,7,"28",1994,"M",23.74,19.87,NA,NA,NA,"IMG_4835",61.46601,190.122109,244,57,250,7,0.246411074,-111.75958,44.89,"GravellyRange",208,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3452380952381,208,12.4444444444444,"post 1980","late",7,"19947","Northern RM",NA,NA,NA,NA
"48","4827","csu","Montana","Madison","GravellyRange",44.93784,-111.834579,"9600",2820.12,1,7,"28",1994,"M",23.12,20.14,NA,NA,NA,"IMG_4827",72.679291,176.006975,237,31,248,21,0.31714989,-111.834579,44.93784,"GravellyRange",208,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3452380952381,208,12.4444444444444,"post 1980","late",7,"19947","Northern RM",NA,NA,NA,NA
"49","4831","csu","Montana","Madison","GravellyRange",44.93784,-111.834579,"9600",2820.12,1,7,"28",1994,"M",22.42,18.74,NA,NA,NA,"IMG_4831",71.106536,176.607334,254,45,241,29,0.303738991,-111.834579,44.93784,"GravellyRange",208,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3452380952381,208,12.4444444444444,"post 1980","late",7,"19947","Northern RM",NA,NA,NA,NA
"50","4833","csu","Montana","Madison","GravellyRange",44.93784,-111.834579,"9600",2820.12,1,7,"28",1994,"M",24.7,19.7,NA,NA,NA,"IMG_4833",84.775961,193.120828,242,55,241,25,0.221662833,-111.834579,44.93784,"GravellyRange",208,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3452380952381,208,12.4444444444444,"post 1980","late",7,"19947","Northern RM",NA,NA,NA,NA
"51","4857","csu","Montana","Madison","GravellyRangeNofStandardCreelRdBighornmnt",44.93784,-111.834579,"9600",2820.12,2,7,"28",1994,"M",19.54,15.74,NA,NA,NA,"IMG_4857",87.420921,193.817329,247,38,253,48,0.288695956,-111.834579,44.93784,"GravellyRange",208,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3452380952381,208,12.4444444444444,"post 1980","late",7,"19947","Northern RM",NA,NA,NA,NA
"52","4880","csu","Montana","Madison","GravellyRange",44.93784,-111.834579,"9600",2820.12,2,7,"28",1994,"M",23.08,19.53,NA,NA,NA,"IMG_4880",67.958216,168.567605,233,31,242,40,0.363526708,-111.834579,44.93784,"GravellyRange",208,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3452380952381,208,12.4444444444444,"post 1980","late",7,"19947","Northern RM",NA,NA,NA,NA
"53","4882","csu","Montana","Madison","GravellyRange",44.93784,-111.834579,"9600",2820.12,2,7,"28",1994,"M",22.49,18.8,NA,NA,NA,"IMG_4882",73.988424,174.61611,254,31,251,49,0.378138069,-111.834579,44.93784,"GravellyRange",208,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3452380952381,208,12.4444444444444,"post 1980","late",7,"19947","Northern RM",NA,NA,NA,NA
"54","4859","csu","Montana","Carbon","BeartoothPlateau1miSofWY",45.012663,-109.400769,"9950",3073.78,2,7,"25",1995,"M",21.66,18.58,NA,NA,NA,"IMG_4859",56.423229,176.017809,247,37,243,13,0.291226917,-109.400769,45.012663,"BeartoothPlateau1miSofWY",205,2,7.8611111111111,9.25,8.00925925925926,10.5372628726287,11.3002645502646,205,8.55555555555555,"post 1980","late",8,"19958","Northern RM",NA,NA,NA,NA
"55","4861","csu","Montana","Carbon","BeartoothPlateauHWY12,Southofstateline",45.012663,-109.400769,"9990",3073.78,2,7,"24",1995,"M",20.83,17.7,NA,NA,NA,"IMG_4861",56.891402,187.810444,252,38,245,16,0.249736052,-109.400769,45.012663,"BeartoothPlateau1miSofWY",204,2,7.8611111111111,9.25,8.00925925925926,10.5372628726287,11.1283068783069,204,8.55555555555555,"post 1980","late",8,"19958","Northern RM",NA,NA,NA,NA
"56","4863","csu","Montana","Carbon","BeartoothPlateauHWY12,Southofstateline",45.012663,-109.400769,"9990",3073.78,2,7,"24",1995,"M",19.01,16.53,NA,NA,NA,"IMG_4863",73.644842,179.731621,246,41,251,32,0.325426388,-109.400769,45.012663,"BeartoothPlateau1miSofWY",204,2,7.8611111111111,9.25,8.00925925925926,10.5372628726287,11.1283068783069,204,8.55555555555555,"post 1980","late",8,"19958","Northern RM",NA,NA,NA,NA
"57","4866","csu","Montana","Carbon","BeartoothPlateauHWY12,Southofstateline",45.012663,-109.400769,"9990",3073.78,2,7,"24",1995,"M",19.99,17.95,NA,NA,NA,"IMG_4866",90.376821,181.745171,245,40,252,13,0.293953259,-109.400769,45.012663,"BeartoothPlateau1miSofWY",204,2,7.8611111111111,9.25,8.00925925925926,10.5372628726287,11.1283068783069,204,8.55555555555555,"post 1980","late",8,"19958","Northern RM",NA,NA,NA,NA
"58","4868","csu","Montana","Carbon","BeartoothPlateauHWY12",45.012663,-109.400769,"9200",3073.78,2,7,"26",1994,"M",19.71,17,NA,NA,NA,"IMG_4868",84.350448,149.654738,217,20,240,21,0.412535443,-109.400769,45.012663,"BeartoothPlateau1miSofWY",206,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.2791005291005,206,12.4444444444444,"post 1980","late",8,"19948","Northern RM",NA,NA,NA,NA
"59","4869","csu","Montana","Carbon","BeartoothPlateauHWY12",45.012663,-109.400769,"9200",3073.78,2,7,"26",1994,"M",19.49,17.47,NA,NA,NA,"IMG_4869",94.98524,170.54754,239,26,249,45,0.384570882,-109.400769,45.012663,"BeartoothPlateau1miSofWY",206,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.2791005291005,206,12.4444444444444,"post 1980","late",8,"19948","Northern RM",NA,NA,NA,NA
"60","4843","csu","Montana","Carbon","BeartoothPlateauHWY12,Southofstateline",45.0041674,-109.410899,"9990",3116.28,2,7,"24",1995,"M",21.36,19.05,NA,NA,NA,"IMG_4843",54.733587,164.349137,232,37,233,14,0.31347426,-109.410899,45.0041674,"BeartoothPlateau1miSofWY",204,2,7.8611111111111,9.25,8.00925925925926,10.5372628726287,11.1283068783069,204,8.55555555555555,"post 1980","late",8,"19958","Northern RM",NA,NA,NA,NA
"61","4855","csu","Montana","Carbon","BeartoothPlateauHWY12,Southofstateline",45.0041674,-109.410899,"9990",3116.28,1,7,"24",1995,"M",20.99,18.88,NA,NA,NA,"IMG_4855",42.451764,172.027562,243,37,241,0,0.286192689,-109.410899,45.0041674,"BeartoothPlateau1miSofWY",204,2,7.8611111111111,9.25,8.00925925925926,10.5372628726287,11.1283068783069,204,8.55555555555555,"post 1980","late",8,"19958","Northern RM",NA,NA,NA,NA
"63","4900","csu","Montana","Madison","Lonemtwestofbigsky",45.277984,-111.45024,"6100",3395.69,8,7,"23",2003,"M",20.46,16.82,NA,NA,NA,"IMG_4900",61.31767,162.88993,245,30,237,10,0.326476079,-111.45024,45.277984,"Lonemtwestofbigsky",203,2,8.1388888888889,11.4722222222222,7.27777777777777,10.489837398374,11.4854497354497,203,9.80555555555555,"post 1980","late",9,"20039","Northern RM",NA,NA,NA,NA
"64","4841","csu","Wyoming","Park","BeartoothPlateauHWY12atClayButte",44.937255,-109.6222647,"8900",2743.76,6,7,"27",1994,"M",20.91,18.72,NA,NA,NA,"IMG_4841",73.622999,179.5681,255,44,251,3,0.288031855,-109.6222647,44.937255,"BeartoothPlateauHWY12atClayButte",207,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.3320105820106,207,12.4444444444444,"post 1980","late",10,"199410","Northern RM",NA,NA,NA,NA
"65","4845","csu","Wyoming","Park","BeartoothPlateauHWY12,Southofstateline",45.0038033,-109.4121007,"9400",3123.95,6,7,"26",1994,"M",20.68,17.41,NA,NA,NA,"IMG_4845",66.415254,152.532586,250,21,252,40,0.469185915,-109.4121007,45.0038033,"BeartoothPlateau1miSofWY",206,2,9.5277777777778,15.3611111111111,9.88888888888889,11.8380758807588,12.2791005291005,206,12.4444444444444,"post 1980","late",8,"19948","Northern RM",NA,NA,NA,NA
"66","4847","csu","Wyoming","Park","BeartoothPlateauHWY12,Southofstateline",45.0038033,-109.4121007,"9400",3123.95,6,7,"30",1997,"M",19.56,17.47,NA,NA,NA,"IMG_4847",135.584476,180.855109,246,33,253,69,0.392091799,-109.4121007,45.0038033,"BeartoothPlateau1miSofWY",210,2,10.0833333333333,9.8055555555556,9.93518518518519,10.7066395663957,12.0145502645503,210,9.94444444444445,"post 1980","late",8,"19978","Northern RM",NA,NA,NA,NA
"67","4849","csu","Wyoming","Park","BeartoothPlateauHWY12,Southofstateline",45.0038033,-109.4121007,"9400",3123.95,6,7,"30",1997,"M",20.34,17.3,NA,NA,NA,"IMG_4849",55.559124,165.496263,240,23,246,0,0.327250963,-109.4121007,45.0038033,"BeartoothPlateau1miSofWY",210,2,10.0833333333333,9.8055555555556,9.93518518518519,10.7066395663957,12.0145502645503,210,9.94444444444445,"post 1980","late",8,"19978","Northern RM",NA,NA,NA,NA
